x coord,y coord,z coord,rho,u,v,w
0.016667,0.016667,0.000000,0.998028,0.000050,-0.000024,0.000000
0.050000,0.016667,0.000000,0.997845,-0.000036,-0.000005,0.000000
0.083333,0.016667,0.000000,0.998053,-0.000001,-0.000041,0.000000
0.116667,0.016667,0.000000,0.997830,0.000049,0.000011,0.000000
0.150000,0.016667,0.000000,0.997963,-0.000144,0.000048,0.000000
0.183333,0.016667,0.000000,0.997792,-0.000296,0.000093,0.000000
0.216667,0.016667,0.000000,0.997849,-0.000694,0.000140,0.000000
0.250000,0.016667,0.000000,0.997720,-0.001094,0.000185,0.000000
0.283333,0.016667,0.000000,0.997709,-0.001712,0.000233,0.000000
0.316667,0.016667,0.000000,0.997598,-0.002371,0.000268,0.000000
0.350000,0.016667,0.000000,0.997545,-0.003172,0.000290,0.000000
0.383333,0.016667,0.000000,0.997456,-0.003983,0.000288,0.000000
0.416667,0.016667,0.000000,0.997415,-0.004803,0.000267,0.000000
0.450000,0.016667,0.000000,0.997386,-0.005547,0.000222,0.000000
0.483333,0.016667,0.000000,0.997431,-0.006151,0.000161,0.000000
0.516667,0.016667,0.000000,0.997501,-0.006588,0.000084,0.000000
0.550000,0.016667,0.000000,0.997672,-0.006756,-0.000004,0.000000
0.583333,0.016667,0.000000,0.997832,-0.006692,-0.000103,0.000000
0.616667,0.016667,0.000000,0.998103,-0.006272,-0.000205,0.000000
0.650000,0.016667,0.000000,0.998267,-0.005617,-0.000304,0.000000
0.683333,0.016667,0.000000,0.998538,-0.004605,-0.000386,0.000000
0.716667,0.016667,0.000000,0.998560,-0.003490,-0.000435,0.000000
0.750000,0.016667,0.000000,0.998718,-0.002186,-0.000430,0.000000
0.783333,0.016667,0.000000,0.998506,-0.001105,-0.000356,0.000000
0.816667,0.016667,0.000000,0.998565,-0.000157,-0.000231,0.000000
0.850000,0.016667,0.000000,0.998213,0.000267,-0.000072,0.000000
0.883333,0.016667,0.000000,0.998343,0.000437,0.000035,0.000000
0.916667,0.016667,0.000000,0.998029,0.000290,0.000131,0.000000
0.950000,0.016667,0.000000,0.998257,0.000013,0.000078,0.000000
0.983333,0.016667,0.000000,0.998082,0.000063,0.000045,0.000000
0.016667,0.050000,0.000000,0.998110,0.000047,0.000006,0.000000
0.050000,0.050000,0.000000,0.997920,-0.000073,0.000073,0.000000
0.083333,0.050000,0.000000,0.998126,-0.000057,-0.000043,0.000000
0.116667,0.050000,0.000000,0.997927,-0.000056,0.000153,0.000000
0.150000,0.050000,0.000000,0.998086,-0.000583,0.000304,0.000000
0.183333,0.050000,0.000000,0.997943,-0.001163,0.000480,0.000000
0.216667,0.050000,0.000000,0.998036,-0.002327,0.000675,0.000000
0.250000,0.050000,0.000000,0.997938,-0.003653,0.000860,0.000000
0.283333,0.050000,0.000000,0.997973,-0.005522,0.001070,0.000000
0.316667,0.050000,0.000000,0.997900,-0.007589,0.001226,0.000000
0.350000,0.050000,0.000000,0.997896,-0.009975,0.001355,0.000000
0.383333,0.050000,0.000000,0.997836,-0.012363,0.001378,0.000000
0.416667,0.050000,0.000000,0.997815,-0.014667,0.001331,0.000000
0.450000,0.050000,0.000000,0.997766,-0.016658,0.001158,0.000000
0.483333,0.050000,0.000000,0.997763,-0.018172,0.000904,0.000000
0.516667,0.050000,0.000000,0.997738,-0.019127,0.000539,0.000000
0.550000,0.050000,0.000000,0.997789,-0.019335,0.000115,0.000000
0.583333,0.050000,0.000000,0.997794,-0.018875,-0.000383,0.000000
0.616667,0.050000,0.000000,0.997909,-0.017548,-0.000889,0.000000
0.650000,0.050000,0.000000,0.997916,-0.015622,-0.001387,0.000000
0.683333,0.050000,0.000000,0.998070,-0.012917,-0.001782,0.000000
0.716667,0.050000,0.000000,0.998019,-0.009958,-0.002021,0.000000
0.750000,0.050000,0.000000,0.998175,-0.006631,-0.002006,0.000000
0.783333,0.050000,0.000000,0.998023,-0.003749,-0.001706,0.000000
0.816667,0.050000,0.000000,0.998190,-0.001214,-0.001184,0.000000
0.850000,0.050000,0.000000,0.997959,0.000171,-0.000537,0.000000
0.883333,0.050000,0.000000,0.998177,0.000828,-0.000089,0.000000
0.916667,0.050000,0.000000,0.997924,0.000656,0.000291,0.000000
0.950000,0.050000,0.000000,0.998157,0.000104,0.000131,0.000000
0.983333,0.050000,0.000000,0.997977,0.000098,0.000033,0.000000
0.016667,0.083333,0.000000,0.998041,0.000053,-0.000015,0.000000
0.050000,0.083333,0.000000,0.997830,-0.000080,0.000108,0.000000
0.083333,0.083333,0.000000,0.998046,-0.000203,-0.000068,0.000000
0.116667,0.083333,0.000000,0.997828,-0.000440,0.000544,0.000000
0.150000,0.083333,0.000000,0.997979,-0.001493,0.001146,0.000000
0.183333,0.083333,0.000000,0.997826,-0.002838,0.001839,0.000000
0.216667,0.083333,0.000000,0.997903,-0.005077,0.002620,0.000000
0.250000,0.083333,0.000000,0.997797,-0.007728,0.003378,0.000000
0.283333,0.083333,0.000000,0.997807,-0.011096,0.004159,0.000000
0.316667,0.083333,0.000000,0.997717,-0.014685,0.004714,0.000000
0.350000,0.083333,0.000000,0.997672,-0.018448,0.005053,0.000000
0.383333,0.083333,0.000000,0.997583,-0.021935,0.004969,0.000000
0.416667,0.083333,0.000000,0.997524,-0.024988,0.004548,0.000000
0.450000,0.083333,0.000000,0.997465,-0.027376,0.003715,0.000000
0.483333,0.083333,0.000000,0.997465,-0.028968,0.002617,0.000000
0.516667,0.083333,0.000000,0.997482,-0.029739,0.001239,0.000000
0.550000,0.083333,0.000000,0.997591,-0.029556,-0.000262,0.000000
0.583333,0.083333,0.000000,0.997689,-0.028546,-0.001886,0.000000
0.616667,0.083333,0.000000,0.997900,-0.026534,-0.003452,0.000000
0.650000,0.083333,0.000000,0.998014,-0.023801,-0.004917,0.000000
0.683333,0.083333,0.000000,0.998254,-0.020143,-0.006035,0.000000
0.716667,0.083333,0.000000,0.998272,-0.016081,-0.006693,0.000000
0.750000,0.083333,0.000000,0.998456,-0.011462,-0.006622,0.000000
0.783333,0.083333,0.000000,0.998300,-0.007171,-0.005747,0.000000
0.816667,0.083333,0.000000,0.998435,-0.003186,-0.004144,0.000000
