x coord,y coord,z coord,rho,U,V,W
0.016667,0.016667,0.016667,0.992421,0.000017,0.000027,-0.000011
0.050000,0.016667,0.016667,0.992706,-0.000086,0.000077,0.000007
0.083333,0.016667,0.016667,0.992644,0.000001,-0.000009,-0.000009
0.116667,0.016667,0.016667,0.992672,0.000009,0.000006,-0.000011
0.150000,0.016667,0.016667,0.992665,0.000026,0.000012,-0.000013
0.183333,0.016667,0.016667,0.992657,0.000026,0.000017,-0.000013
0.216667,0.016667,0.016667,0.992648,0.000020,0.000020,-0.000013
0.250000,0.016667,0.016667,0.992636,0.000006,0.000023,-0.000013
0.283333,0.016667,0.016667,0.992627,-0.000015,0.000024,-0.000012
0.316667,0.016667,0.016667,0.992618,-0.000040,0.000026,-0.000011
0.350000,0.016667,0.016667,0.992612,-0.000069,0.000026,-0.000011
0.383333,0.016667,0.016667,0.992609,-0.000101,0.000027,-0.000010
0.416667,0.016667,0.016667,0.992610,-0.000134,0.000027,-0.000010
0.450000,0.016667,0.016667,0.992616,-0.000165,0.000026,-0.000010
0.483333,0.016667,0.016667,0.992626,-0.000194,0.000025,-0.000009
0.516667,0.016667,0.016667,0.992640,-0.000217,0.000023,-0.000009
0.550000,0.016667,0.016667,0.992658,-0.000231,0.000021,-0.000010
0.583333,0.016667,0.016667,0.992677,-0.000237,0.000018,-0.000010
0.616667,0.016667,0.016667,0.992699,-0.000232,0.000015,-0.000011
0.650000,0.016667,0.016667,0.992718,-0.000216,0.000012,-0.000011
0.683333,0.016667,0.016667,0.992738,-0.000190,0.000010,-0.000012
0.716667,0.016667,0.016667,0.992748,-0.000159,0.000008,-0.000012
0.750000,0.016667,0.016667,0.992762,-0.000120,0.000006,-0.000013
0.783333,0.016667,0.016667,0.992754,-0.000085,0.000006,-0.000012
0.816667,0.016667,0.016667,0.992765,-0.000047,0.000005,-0.000011
0.850000,0.016667,0.016667,0.992734,-0.000025,0.000004,-0.000008
0.883333,0.016667,0.016667,0.992756,0.000009,-0.000001,-0.000007
0.916667,0.016667,0.016667,0.992677,0.000010,-0.000010,-0.000000
0.950000,0.016667,0.016667,0.992774,0.000085,0.000072,0.000011
0.983333,0.016667,0.016667,0.992462,-0.000009,0.000026,-0.000005
0.016667,0.050000,0.016667,0.992671,0.000077,-0.000094,0.000018
0.050000,0.050000,0.016667,0.992709,0.000083,0.000034,0.000040
0.083333,0.050000,0.016667,0.992625,0.000104,-0.000060,0.000030
0.116667,0.050000,0.016667,0.992628,0.000077,-0.000038,0.000034
0.150000,0.050000,0.016667,0.992606,0.000074,-0.000036,0.000036
0.183333,0.050000,0.016667,0.992590,0.000056,-0.000027,0.000041
0.216667,0.050000,0.016667,0.992575,0.000027,-0.000024,0.000045
0.250000,0.050000,0.016667,0.992559,-0.000017,-0.000020,0.000050
0.283333,0.050000,0.016667,0.992547,-0.000074,-0.000019,0.000054
0.316667,0.050000,0.016667,0.992535,-0.000142,-0.000018,0.000058
0.350000,0.050000,0.016667,0.992526,-0.000219,-0.000019,0.000062
0.383333,0.050000,0.016667,0.992520,-0.000301,-0.000022,0.000066
0.416667,0.050000,0.016667,0.992517,-0.000384,-0.000028,0.000070
0.450000,0.050000,0.016667,0.992519,-0.000463,-0.000035,0.000072
0.483333,0.050000,0.016667,0.992525,-0.000533,-0.000045,0.000074
0.516667,0.050000,0.016667,0.992535,-0.000589,-0.000057,0.000074
0.550000,0.050000,0.016667,0.992551,-0.000624,-0.000069,0.000072
0.583333,0.050000,0.016667,0.992568,-0.000637,-0.000082,0.000069
0.616667,0.050000,0.016667,0.992590,-0.000622,-0.000093,0.000065
0.650000,0.050000,0.016667,0.992609,-0.000584,-0.000102,0.000060
0.683333,0.050000,0.016667,0.992632,-0.000521,-0.000108,0.000053
0.716667,0.050000,0.016667,0.992647,-0.000443,-0.000108,0.000047
0.750000,0.050000,0.016667,0.992668,-0.000351,-0.000103,0.000041
0.783333,0.050000,0.016667,0.992669,-0.000265,-0.000093,0.000037
0.816667,0.050000,0.016667,0.992692,-0.000179,-0.000081,0.000032
0.850000,0.050000,0.016667,0.992673,-0.000127,-0.000067,0.000033
0.883333,0.050000,0.016667,0.992717,-0.000076,-0.000056,0.000031
0.916667,0.050000,0.016667,0.992662,-0.000099,-0.000058,0.000037
0.950000,0.050000,0.016667,0.992786,-0.000086,0.000030,0.000038
0.983333,0.050000,0.016667,0.992716,-0.000067,-0.000092,0.000024
0.016667,0.083333,0.016667,0.992631,-0.000008,-0.000056,0.000001
0.050000,0.083333,0.016667,0.992654,0.000001,-0.000044,0.000025
0.083333,0.083333,0.016667,0.992631,0.000025,-0.000167,0.000035
0.116667,0.083333,0.016667,0.992632,0.000021,-0.000163,0.000044
0.150000,0.083333,0.016667,0.992622,0.000018,-0.000176,0.000049
0.183333,0.083333,0.016667,0.992608,-0.000005,-0.000169,0.000056
0.216667,0.083333,0.016667,0.992597,-0.000050,-0.000166,0.000063
0.250000,0.083333,0.016667,0.992582,-0.000116,-0.000162,0.000070
0.283333,0.083333,0.016667,0.992571,-0.000202,-0.000162,0.000076
0.316667,0.083333,0.016667,0.992559,-0.000304,-0.000165,0.000082
0.350000,0.083333,0.016667,0.992551,-0.000418,-0.000173,0.000088
0.383333,0.083333,0.016667,0.992546,-0.000538,-0.000186,0.000093
