"rho","U","V","W","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.9928,-0.0025835,-1.6941e-21,-1.3e-05,1,0,0.5,0.5,0.016667
0.99276,-0.0071457,0,-0.00011692,1,0.032222,0.5,0.5,0.048889
0.99276,-0.011234,0,-0.00039677,1,0.064444,0.5,0.5,0.081111
0.99272,-0.014437,0,-0.00074365,1,0.096667,0.5,0.5,0.11333
0.99269,-0.017014,0,-0.0010755,1,0.12889,0.5,0.5,0.14556
0.99263,-0.01896,-4.2352e-22,-0.001261,1,0.16111,0.5,0.5,0.17778
0.99255,-0.020316,-1.7279e-19,-0.001221,1,0.19333,0.5,0.5,0.21
0.99245,-0.021039,-4.1674e-19,-0.00091535,1,0.22556,0.5,0.5,0.24222
0.99233,-0.021103,0,-0.00035046,1,0.25778,0.5,0.5,0.27444
0.9922,-0.020497,0,0.0004355,1,0.29,0.5,0.5,0.30667
0.99207,-0.019259,6.7763e-21,0.0013827,1,0.32222,0.5,0.5,0.33889
0.99194,-0.017477,-6.7763e-21,0.002422,1,0.35444,0.5,0.5,0.37111
0.99181,-0.015277,6.7763e-21,0.0034825,1,0.38667,0.5,0.5,0.40333
0.9917,-0.012807,0,0.0045005,1,0.41889,0.5,0.5,0.43556
0.9916,-0.010213,0,0.0054267,1,0.45111,0.5,0.5,0.46778
0.99152,-0.0076207,-6.7763e-21,0.0062285,1,0.48333,0.5,0.5,0.5
0.99146,-0.0051258,0,0.0068901,1,0.51556,0.5,0.5,0.53222
0.99142,-0.0027865,-6.7763e-21,0.0074088,1,0.54778,0.5,0.5,0.56444
0.99139,-0.000628,6.7763e-21,0.0077905,1,0.58,0.5,0.5,0.59667
0.99138,0.0013507,-3.3881e-21,0.0080458,1,0.61222,0.5,0.5,0.62889
0.99137,0.00317,0,0.0081857,1,0.64444,0.5,0.5,0.66111
0.99139,0.0048641,3.3881e-21,0.0082187,1,0.67667,0.5,0.5,0.69333
0.9914,0.0064685,0,0.0081488,1,0.70889,0.5,0.5,0.72556
0.99143,0.0080346,6.7763e-21,0.0079726,1,0.74111,0.5,0.5,0.75778
0.99147,0.009625,0,0.0076754,1,0.77333,0.5,0.5,0.79
0.9915,0.011474,4.2352e-22,0.0071991,1,0.80555,0.5,0.5,0.82222
0.99155,0.014195,0,0.006468,1,0.83778,0.5,0.5,0.85444
0.99153,0.019404,-2.3293e-20,0.0052539,1,0.87,0.5,0.5,0.88667
0.99166,0.030276,-1.6941e-21,0.0036187,1,0.90222,0.5,0.5,0.91889
0.99141,0.050482,3.7788e-19,0.0014155,1,0.93444,0.5,0.5,0.95111
0.99198,0.082709,-8.4703e-22,0.000183,1,0.96667,0.5,0.5,0.98333
