y coord,u
1.666667e-02,-6.150965e-03
5.000000e-02,-1.817208e-02
8.333333e-02,-2.896758e-02
1.166667e-01,-3.424983e-02
1.500000e-01,-3.782431e-02
1.833333e-01,-3.792961e-02
2.166667e-01,-3.589529e-02
2.500000e-01,-3.190312e-02
2.833333e-01,-2.768591e-02
3.166667e-01,-2.354796e-02
3.500000e-01,-1.992132e-02
3.833333e-01,-1.653115e-02
4.166667e-01,-1.333652e-02
4.500000e-01,-1.022483e-02
4.833333e-01,-7.089524e-03
5.166667e-01,-4.054871e-03
5.500000e-01,-8.618633e-04
5.833333e-01,2.145363e-03
6.166667e-01,5.527091e-03
6.500000e-01,8.601052e-03
6.833333e-01,1.242498e-02
7.166667e-01,1.571470e-02
7.500000e-01,2.024689e-02
7.833333e-01,2.379030e-02
8.166667e-01,2.876048e-02
8.500000e-01,3.212085e-02
8.833333e-01,3.577620e-02
9.166667e-01,3.918634e-02
9.500000e-01,5.018622e-02
9.833333e-01,8.341308e-02
