x coord, v
1.666667e-02,7.685126e-03
5.000000e-02,2.182692e-02
8.333333e-02,3.105008e-02
1.166667e-01,3.421917e-02
1.500000e-01,3.708649e-02
1.833333e-01,3.686007e-02
2.166667e-01,3.546354e-02
2.500000e-01,3.191296e-02
2.833333e-01,2.808670e-02
3.166667e-01,2.365112e-02
3.500000e-01,1.968951e-02
3.833333e-01,1.568437e-02
4.166667e-01,1.212130e-02
4.500000e-01,8.454478e-03
4.833333e-01,5.044561e-03
5.166667e-01,1.413306e-03
5.500000e-01,-2.011005e-03
5.833333e-01,-5.766087e-03
6.166667e-01,-9.276612e-03
6.500000e-01,-1.326850e-02
6.833333e-01,-1.688544e-02
7.166667e-01,-2.115689e-02
7.500000e-01,-2.491961e-02
7.833333e-01,-2.988481e-02
8.166667e-01,-3.502747e-02
8.500000e-01,-4.244766e-02
8.833333e-01,-4.934108e-02
9.166667e-01,-5.172931e-02
9.500000e-01,-3.660134e-02
9.833333e-01,-1.169673e-02
